
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
72.321, , 132.674, 101.297, 1.24979, 0.999999, 4.31879e-08, 3.56971e-05, -0.00120984, , , , , , , , , , , , , 
72.821, , 137.496, 101.286, 1.24957, 0.999999, 4.48316e-08, 3.70557e-05, -0.00120984, , , , , , , , , , , , , 
73.321, , 144.318, 101.269, 1.24921, 0.999999, 4.64754e-08, 3.84143e-05, -0.00120984, , , , , , , , , , , , , 
73.821, , 153.14, 101.248, 1.24869, 0.999999, 4.81191e-08, 3.97729e-05, -0.00120984, , , , , , , , , , , , , 
74.321, , 163.962, 101.222, 1.248, 0.999999, 4.97627e-08, 4.11315e-05, -0.00120984, , , , , , , , , , , , , 
74.821, , 176.784, 101.191, 1.24711, 0.999999, 5.14064e-08, 4.24901e-05, -0.00120984, , , , , , , , , , , , , 
75.321, , 191.605, 101.155, 1.24604, 0.999999, 5.30501e-08, 4.38487e-05, -0.00120984, , , , , , , , , , , , , 
75.821, , 208.427, 101.114, 1.24475, 0.999999, 5.46938e-08, 4.52073e-05, -0.00120984, , , , , , , , , , , , , 
76.321, , 227.249, 101.068, 1.24325, 0.999999, 5.63374e-08, 4.65659e-05, -0.00120984, , , , , , , , , , , , , 
76.821, , 248.071, 101.018, 1.24151, 0.999999, 5.79811e-08, 4.79244e-05, -0.00120984, , , , , , , , , , , , , 
77.321, , 270.893, 100.963, 1.23954, 0.999999, 5.96247e-08, 4.9283e-05, -0.00120984, , , , , , , , , , , , , 
77.821, , 295.422, 101.05, 1.23732, 0.999999, 5.22581e-08, 5.06416e-05, -0.00127653, , , , , , , , , , , , , 
78.321, , 318.717, 102.76, 1.23496, 0.999998, -2.69503e-08, 5.20003e-05, -0.00186147, , , , , , , , , , , , , 
78.821, , 340.019, 106.478, 1.23263, 0.999996, -1.46978e-07, 5.33592e-05, -0.00272468, , , , , , , , , , , , , 
